19/09/20 21:19:40 WARN util.NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
19/09/20 21:19:48 WARN optim.DistriOptimizer$: Input formats NCHW by default, Please set explicitly if needed
19/09/20 21:19:48 WARN optim.DistriOptimizer$: Output formats NC by default, Please set explicitly if needed
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000649.JPEG.jpg , Iteration 0 , takes 0.003652076 s, throughput is 273.82 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000787.JPEG.jpg , Iteration 0 , takes 0.003152196 s, throughput is 317.24 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000167.JPEG.jpg , Iteration 0 , takes 0.003253661 s, throughput is 307.35 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000614.JPEG.jpg , Iteration 0 , takes 0.00334696 s, throughput is 298.78 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000244.JPEG.jpg , Iteration 0 , takes 0.003207044 s, throughput is 311.81 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000528.JPEG.jpg , Iteration 0 , takes 0.003256859 s, throughput is 307.04 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000294.JPEG.jpg , Iteration 0 , takes 0.003561425 s, throughput is 280.79 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000493.JPEG.jpg , Iteration 0 , takes 0.002883731 s, throughput is 346.77 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000561.JPEG.jpg , Iteration 0 , takes 0.002805083 s, throughput is 356.50 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000588.JPEG.jpg , Iteration 0 , takes 0.003031897 s, throughput is 329.83 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000782.JPEG.jpg , Iteration 0 , takes 0.00301777 s, throughput is 331.37 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000961.JPEG.jpg , Iteration 0 , takes 0.002921866 s, throughput is 342.25 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000333.JPEG.jpg , Iteration 0 , takes 0.002998011 s, throughput is 333.55 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000623.JPEG.jpg , Iteration 0 , takes 0.003045297 s, throughput is 328.38 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000876.JPEG.jpg , Iteration 0 , takes 0.003055468 s, throughput is 327.28 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000542.JPEG.jpg , Iteration 0 , takes 0.0029166 s, throughput is 342.86 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000674.JPEG.jpg , Iteration 0 , takes 0.003031575 s, throughput is 329.86 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000878.JPEG.jpg , Iteration 0 , takes 0.002918733 s, throughput is 342.61 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000164.JPEG.jpg , Iteration 0 , takes 0.002871019 s, throughput is 348.31 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000589.JPEG.jpg , Iteration 0 , takes 0.002939397 s, throughput is 340.21 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000695.JPEG.jpg , Iteration 0 , takes 0.003002209 s, throughput is 333.09 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000099.JPEG.jpg , Iteration 0 , takes 0.002871648 s, throughput is 348.23 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000799.JPEG.jpg , Iteration 0 , takes 0.002832231 s, throughput is 353.08 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000715.JPEG.jpg , Iteration 0 , takes 0.002878364 s, throughput is 347.42 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000885.JPEG.jpg , Iteration 0 , takes 0.002704141 s, throughput is 369.80 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000960.JPEG.jpg , Iteration 0 , takes 0.003118338 s, throughput is 320.68 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000985.JPEG.jpg , Iteration 0 , takes 0.002864521 s, throughput is 349.10 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000427.JPEG.jpg , Iteration 0 , takes 0.002797986 s, throughput is 357.40 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000036.JPEG.jpg , Iteration 0 , takes 0.002255889 s, throughput is 443.28 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000869.JPEG.jpg , Iteration 0 , takes 0.002326259 s, throughput is 429.87 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000103.JPEG.jpg , Iteration 0 , takes 0.002382336 s, throughput is 419.76 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000063.JPEG.jpg , Iteration 0 , takes 0.002178363 s, throughput is 459.06 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000642.JPEG.jpg , Iteration 0 , takes 0.002176348 s, throughput is 459.49 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000087.JPEG.jpg , Iteration 0 , takes 0.002172655 s, throughput is 460.27 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000504.JPEG.jpg , Iteration 0 , takes 0.002209944 s, throughput is 452.50 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000282.JPEG.jpg , Iteration 0 , takes 0.002717807 s, throughput is 367.94 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000998.JPEG.jpg , Iteration 0 , takes 0.002278848 s, throughput is 438.82 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000037.JPEG.jpg , Iteration 0 , takes 0.002418267 s, throughput is 413.52 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000586.JPEG.jpg , Iteration 0 , takes 0.002500876 s, throughput is 399.86 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000155.JPEG.jpg , Iteration 0 , takes 0.002180975 s, throughput is 458.51 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000129.JPEG.jpg , Iteration 0 , takes 0.00235982 s, throughput is 423.76 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000355.JPEG.jpg , Iteration 0 , takes 0.002162712 s, throughput is 462.38 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000924.JPEG.jpg , Iteration 0 , takes 0.002205505 s, throughput is 453.41 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000549.JPEG.jpg , Iteration 0 , takes 0.002086123 s, throughput is 479.36 imgs/sec
19/09/20 21:19:55 INFO inference.Perf$:  ILSVRC2012_val_00000239.JPEG.jpg , Iteration 0 , takes 0.002117122 s, throughput is 472.34 imgs/sec
