19/09/20 21:20:17 WARN util.NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
19/09/20 21:20:28 WARN optim.DistriOptimizer$: Input formats NCHW by default, Please set explicitly if needed
19/09/20 21:20:28 WARN optim.DistriOptimizer$: Output formats NC by default, Please set explicitly if needed
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000649.JPEG.jpg , Iteration 0 , takes 0.010149251 s, throughput is 98.53 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000787.JPEG.jpg , Iteration 0 , takes 0.009611324 s, throughput is 104.04 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000167.JPEG.jpg , Iteration 0 , takes 0.00972478 s, throughput is 102.83 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000614.JPEG.jpg , Iteration 0 , takes 0.009529391 s, throughput is 104.94 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000244.JPEG.jpg , Iteration 0 , takes 0.008704392 s, throughput is 114.88 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000528.JPEG.jpg , Iteration 0 , takes 0.009778854 s, throughput is 102.26 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000294.JPEG.jpg , Iteration 0 , takes 0.009560075 s, throughput is 104.60 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000493.JPEG.jpg , Iteration 0 , takes 0.007932971 s, throughput is 126.06 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000561.JPEG.jpg , Iteration 0 , takes 0.009196717 s, throughput is 108.73 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000588.JPEG.jpg , Iteration 0 , takes 0.009031864 s, throughput is 110.72 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000782.JPEG.jpg , Iteration 0 , takes 0.007740806 s, throughput is 129.19 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000961.JPEG.jpg , Iteration 0 , takes 0.008631965 s, throughput is 115.85 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000333.JPEG.jpg , Iteration 0 , takes 0.008884603 s, throughput is 112.55 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000623.JPEG.jpg , Iteration 0 , takes 0.008807196 s, throughput is 113.54 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000876.JPEG.jpg , Iteration 0 , takes 0.008681111 s, throughput is 115.19 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000542.JPEG.jpg , Iteration 0 , takes 0.008527439 s, throughput is 117.27 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000674.JPEG.jpg , Iteration 0 , takes 0.008482672 s, throughput is 117.89 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000878.JPEG.jpg , Iteration 0 , takes 0.008648434 s, throughput is 115.63 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000164.JPEG.jpg , Iteration 0 , takes 0.008591428 s, throughput is 116.40 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000589.JPEG.jpg , Iteration 0 , takes 0.009104601 s, throughput is 109.83 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000695.JPEG.jpg , Iteration 0 , takes 0.009227523 s, throughput is 108.37 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000099.JPEG.jpg , Iteration 0 , takes 0.009371404 s, throughput is 106.71 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000799.JPEG.jpg , Iteration 0 , takes 0.009063161 s, throughput is 110.34 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000715.JPEG.jpg , Iteration 0 , takes 0.008811311 s, throughput is 113.49 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000885.JPEG.jpg , Iteration 0 , takes 0.008830818 s, throughput is 113.24 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000960.JPEG.jpg , Iteration 0 , takes 0.008311144 s, throughput is 120.32 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000985.JPEG.jpg , Iteration 0 , takes 0.006964447 s, throughput is 143.59 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000427.JPEG.jpg , Iteration 0 , takes 0.007086043 s, throughput is 141.12 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000036.JPEG.jpg , Iteration 0 , takes 0.006918614 s, throughput is 144.54 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000869.JPEG.jpg , Iteration 0 , takes 0.006946195 s, throughput is 143.96 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000103.JPEG.jpg , Iteration 0 , takes 0.007970807 s, throughput is 125.46 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000063.JPEG.jpg , Iteration 0 , takes 0.006953294 s, throughput is 143.82 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000642.JPEG.jpg , Iteration 0 , takes 0.006942811 s, throughput is 144.03 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000087.JPEG.jpg , Iteration 0 , takes 0.00688397 s, throughput is 145.27 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000504.JPEG.jpg , Iteration 0 , takes 0.006872295 s, throughput is 145.51 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000282.JPEG.jpg , Iteration 0 , takes 0.00687963 s, throughput is 145.36 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000998.JPEG.jpg , Iteration 0 , takes 0.007667721 s, throughput is 130.42 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000037.JPEG.jpg , Iteration 0 , takes 0.006807834 s, throughput is 146.89 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000586.JPEG.jpg , Iteration 0 , takes 0.006869375 s, throughput is 145.57 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000155.JPEG.jpg , Iteration 0 , takes 0.006864595 s, throughput is 145.68 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000129.JPEG.jpg , Iteration 0 , takes 0.007520295 s, throughput is 132.97 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000355.JPEG.jpg , Iteration 0 , takes 0.006850524 s, throughput is 145.97 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000924.JPEG.jpg , Iteration 0 , takes 0.00686423 s, throughput is 145.68 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000549.JPEG.jpg , Iteration 0 , takes 0.006760994 s, throughput is 147.91 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000239.JPEG.jpg , Iteration 0 , takes 0.006837498 s, throughput is 146.25 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000560.JPEG.jpg , Iteration 0 , takes 0.006792264 s, throughput is 147.23 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000681.JPEG.jpg , Iteration 0 , takes 0.00673889 s, throughput is 148.39 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000619.JPEG.jpg , Iteration 0 , takes 0.006801729 s, throughput is 147.02 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000983.JPEG.jpg , Iteration 0 , takes 0.006931311 s, throughput is 144.27 imgs/sec
19/09/20 21:20:35 INFO inference.Perf$:  ILSVRC2012_val_00000843.JPEG.jpg , Iteration 0 , takes 0.00693853 s, throughput is 144.12 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000204.JPEG.jpg , Iteration 0 , takes 0.007126755 s, throughput is 140.32 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000957.JPEG.jpg , Iteration 0 , takes 0.006864248 s, throughput is 145.68 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000136.JPEG.jpg , Iteration 0 , takes 0.007028599 s, throughput is 142.28 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000757.JPEG.jpg , Iteration 0 , takes 0.006881453 s, throughput is 145.32 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000045.JPEG.jpg , Iteration 0 , takes 0.00693324 s, throughput is 144.23 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000683.JPEG.jpg , Iteration 0 , takes 0.008022765 s, throughput is 124.65 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000120.JPEG.jpg , Iteration 0 , takes 0.006807707 s, throughput is 146.89 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000851.JPEG.jpg , Iteration 0 , takes 0.006822737 s, throughput is 146.57 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000337.JPEG.jpg , Iteration 0 , takes 0.006769206 s, throughput is 147.73 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000742.JPEG.jpg , Iteration 0 , takes 0.006782418 s, throughput is 147.44 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000352.JPEG.jpg , Iteration 0 , takes 0.006800564 s, throughput is 147.05 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000735.JPEG.jpg , Iteration 0 , takes 0.00716504 s, throughput is 139.57 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000634.JPEG.jpg , Iteration 0 , takes 0.007580216 s, throughput is 131.92 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000571.JPEG.jpg , Iteration 0 , takes 0.007053813 s, throughput is 141.77 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000487.JPEG.jpg , Iteration 0 , takes 0.00699901 s, throughput is 142.88 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000897.JPEG.jpg , Iteration 0 , takes 0.006808135 s, throughput is 146.88 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000667.JPEG.jpg , Iteration 0 , takes 0.006792811 s, throughput is 147.21 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000607.JPEG.jpg , Iteration 0 , takes 0.006751838 s, throughput is 148.11 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000378.JPEG.jpg , Iteration 0 , takes 0.00679161 s, throughput is 147.24 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000706.JPEG.jpg , Iteration 0 , takes 0.006798486 s, throughput is 147.09 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000653.JPEG.jpg , Iteration 0 , takes 0.006741565 s, throughput is 148.33 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000096.JPEG.jpg , Iteration 0 , takes 0.006799186 s, throughput is 147.08 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000815.JPEG.jpg , Iteration 0 , takes 0.006807949 s, throughput is 146.89 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000032.JPEG.jpg , Iteration 0 , takes 0.006846834 s, throughput is 146.05 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000005.JPEG.jpg , Iteration 0 , takes 0.00672205 s, throughput is 148.76 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000451.JPEG.jpg , Iteration 0 , takes 0.006904013 s, throughput is 144.84 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000636.JPEG.jpg , Iteration 0 , takes 0.006802725 s, throughput is 147.00 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000042.JPEG.jpg , Iteration 0 , takes 0.006740485 s, throughput is 148.36 imgs/sec
