ImageIndex,ElapsedTime
0,9.108
1,7.449
2,7.433
3,7.429
4,7.329
5,7.442
6,7.402
7,7.342
8,7.372
9,6.901
10,6.595
11,6.549
12,6.532
13,6.843
14,7.084
15,6.957
16,6.812
17,6.861
18,6.873
19,7.073
20,6.997
21,6.901
22,6.787
23,6.682
24,6.653
25,6.672
26,6.614
27,6.641
28,6.533
29,6.75
30,6.852
31,6.555
32,6.671
33,6.677
34,6.769
35,6.792
36,6.727
37,6.733
38,6.448
39,6.452
40,6.507
41,6.517
42,6.697
43,6.713
44,6.71
45,6.625
46,6.659
47,6.896
48,6.887
49,6.808
50,7.066
51,6.783
52,6.577
53,6.656
54,6.758
55,6.668
56,6.698
57,6.649
58,6.687
59,6.769
60,6.922
61,6.968
62,6.668
63,6.591
64,6.482
65,6.643
66,6.496
67,6.394
68,6.375
69,6.338
70,6.295
71,6.448
72,6.395
73,6.452
74,6.462
75,6.47
76,6.419
77,6.659
78,6.764
79,6.663
80,6.651
81,6.607
82,6.368
83,6.377
84,6.627
85,6.383
86,6.397
87,6.539
88,6.436
89,6.373
90,6.357
91,6.466
92,6.396
93,6.396
94,6.46
95,6.426
96,6.374
97,6.438
98,6.562
99,6.44
100,6.362
101,6.476
102,6.353
103,6.456
104,6.38
105,6.426
106,6.531
107,6.35
108,6.465
109,6.497
110,6.395
111,6.753
112,6.596
113,6.614
114,6.48
115,6.603
116,6.514
117,6.366
118,6.667
119,6.498
120,6.478
121,6.543
122,6.492
123,6.521
124,6.443
125,6.47
126,6.443
127,6.359
128,6.551
129,6.467
130,6.64
131,6.467
132,6.428
133,6.428
134,6.415
135,6.451
136,6.553
137,6.408
138,6.299
139,6.375
140,6.384
141,6.306
142,6.464
143,6.342
144,6.383
145,6.405
146,6.365
147,6.428
148,6.504
149,6.571
150,6.352
151,6.409
152,6.347
153,6.338
154,6.341
155,6.396
156,6.58
157,6.324
158,6.366
159,6.387
160,6.383
161,6.337
162,6.378
163,6.382
164,6.392
165,6.52
166,6.351
167,6.353
168,6.385
169,6.381
170,6.427
171,6.389
172,6.343
173,6.331
174,6.293
175,6.297
176,6.359
177,6.36
178,6.31
179,6.401
180,6.378
181,6.435
182,6.373
183,6.317
184,6.45
185,6.403
186,6.515
187,6.318
188,6.455
189,6.308
190,6.378
191,6.309
192,6.334
193,6.307
194,6.539
195,6.43
196,6.307
197,6.375
198,6.441
199,6.377
200,6.296
201,6.443
202,6.356
203,6.312
204,6.406
205,6.364
206,6.358
207,6.385
208,6.396
209,6.397
210,6.361
211,6.408
212,6.375
213,6.275
214,6.429
215,6.368
216,6.387
217,6.339
218,6.346
219,6.376
220,6.391
221,6.357
222,6.549
223,6.376
224,6.413
225,6.333
226,6.351
227,6.482
228,6.402
229,6.312
230,6.316
231,6.499
232,6.331
233,6.388
234,6.588
235,6.362
236,6.334
237,6.352
238,6.425
239,6.361
240,6.387
241,6.462
242,6.332
243,6.376
244,6.348
245,6.317
246,6.346
247,6.424
248,6.57
249,6.325
250,6.36
251,6.338
252,6.347
253,6.432
254,6.316
255,6.294
256,6.371
257,6.329
258,6.345
259,6.36
260,6.371
261,6.372
262,6.339
263,6.341
264,6.391
265,6.404
266,6.383
267,6.315
268,6.312
269,6.393
270,6.369
271,6.383
272,6.369
273,6.372
274,6.318
275,6.531
276,6.349
277,6.31
278,6.351
279,6.359
280,6.339
281,6.362
282,6.437
283,6.421
284,6.49
